time_s,time_h,Locker_Showers_mdot_kg_s,Locker_Showers_temp_C,Breakroom_Sink_mdot_kg_s,Breakroom_Sink_temp_C,Process_Wash_mdot_kg_s,Process_Wash_temp_C
2720.0,0.7556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
2760.0,0.7667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
2800.0,0.7778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
2840.0,0.7889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
2880.0,0.8000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
2920.0,0.8111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
2960.0,0.8222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3000.0,0.8333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3040.0,0.8444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3080.0,0.8556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3120.0,0.8667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3160.0,0.8778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3200.0,0.8889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3240.0,0.9000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3280.0,0.9111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3320.0,0.9222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3360.0,0.9333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3400.0,0.9444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3440.0,0.9556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3480.0,0.9667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3520.0,0.9778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3560.0,0.9889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3600.0,1.0000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3640.0,1.0111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3680.0,1.0222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3720.0,1.0333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3760.0,1.0444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3800.0,1.0556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3840.0,1.0667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3880.0,1.0778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3920.0,1.0889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
3960.0,1.1000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4000.0,1.1111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4040.0,1.1222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4080.0,1.1333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4120.0,1.1444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4160.0,1.1556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4200.0,1.1667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4240.0,1.1778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4280.0,1.1889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4320.0,1.2000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4360.0,1.2111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4400.0,1.2222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4440.0,1.2333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4480.0,1.2444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4520.0,1.2556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4560.0,1.2667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4600.0,1.2778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4640.0,1.2889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4680.0,1.3000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4720.0,1.3111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4760.0,1.3222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4800.0,1.3333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4840.0,1.3444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4880.0,1.3556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4920.0,1.3667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
4960.0,1.3778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5000.0,1.3889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5040.0,1.4000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5080.0,1.4111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5120.0,1.4222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5160.0,1.4333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5200.0,1.4444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5240.0,1.4556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5280.0,1.4667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5320.0,1.4778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5360.0,1.4889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5400.0,1.5000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5440.0,1.5111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5480.0,1.5222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5520.0,1.5333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5560.0,1.5444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5600.0,1.5556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5640.0,1.5667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5680.0,1.5778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5720.0,1.5889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5760.0,1.6000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5800.0,1.6111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5840.0,1.6222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5880.0,1.6333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5920.0,1.6444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
5960.0,1.6556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6000.0,1.6667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6040.0,1.6778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6080.0,1.6889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6120.0,1.7000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6160.0,1.7111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6200.0,1.7222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6240.0,1.7333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6280.0,1.7444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6320.0,1.7556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6360.0,1.7667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6400.0,1.7778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6440.0,1.7889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6480.0,1.8000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6520.0,1.8111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6560.0,1.8222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6600.0,1.8333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6640.0,1.8444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6680.0,1.8556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6720.0,1.8667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6760.0,1.8778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6800.0,1.8889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6840.0,1.9000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6880.0,1.9111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6920.0,1.9222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
6960.0,1.9333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7000.0,1.9444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7040.0,1.9556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7080.0,1.9667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7120.0,1.9778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7160.0,1.9889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7200.0,2.0000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7240.0,2.0111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7280.0,2.0222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7320.0,2.0333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7360.0,2.0444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7400.0,2.0556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
